artist,track,duration_ms,uri
Mary Lambert,Know Your Name,244933,2px10xaPpeVd2bLLZBGBD9
Mary Lambert,Know Your Name,244933,2px10xaPpeVd2bLLZBGBD9
Mary Lambert,Know Your Name,244933,2px10xaPpeVd2bLLZBGBD9
King Princess,1950,225133,0CZ8lquoTX2Dkg7Ak2inwA
Jasmine Thompson,Hey There Delilah,226090,4vHUtw7dbHNuYMUTIBwRZI
Gina Young,So-Called Str8 Grrrl,124653,5XUZUnnvjObWveOA9fpO7L
Various Artists,And Then She Kissed Me,126533,1mVj7sdHn0zjcjON0v1ShS
Gossip,Where the Girls Are,104600,0DrLOb4uymlOZwYSWpZj8o
Frankie Cosmos,Sappho,112879,13pFTH1XsXp4enELc9QPcN
Julia Nunes,Make Out,169413,7sDNOhZKTb7RBDm3udUGDo
The Internet,Girl (feat. KAYTRANADA),415613,3PFaFVWq5wucLu6s4baj9D
dodie,Sick of Losing Soulmates,267360,4hjbxjZpJ8H6qRCzDOGI0M
A Great Big World,Everyone Is Gay,130067,6AejjYRSi4L2p01COyXLjd
Various Artists,All The Things She Said,207773,49TEmQTc0AqVpT693WX1qu
The Dollyrots,My Best Friend's Hot,190133,2FVEJt4xS9rumGapVJfw82
Various Artists,Rebel Girl,157333,0XyjtybwqSdqMAFfBEkmZf
Sofya Wang,Boys Aside,230000,4GEQub7U5aZP5so979h4oD
girl in red,we fell in love in october,184154,1BYZxKSf0aTxp8ZFoeyM3d
girl in red,we fell in love in october,184154,1BYZxKSf0aTxp8ZFoeyM3d
Shura,Touch,214556,2ylVfK4pVfeSV4zxieyT2B
Shura,Touch,214556,2ylVfK4pVfeSV4zxieyT2B
Shura,Touch,214556,2ylVfK4pVfeSV4zxieyT2B
Shura,Touch,214556,2ylVfK4pVfeSV4zxieyT2B
Sixpence None The Richer,There She Goes,164280,43z6scIZU2QcEieMQFAJRG
Sixpence None The Richer,There She Goes,164280,43z6scIZU2QcEieMQFAJRG
Various Artists,Mad About the Girl,191480,2bNDCbxCEPMa0qBzh26MEm
Various Artists,Mad About the Girl,191480,2bNDCbxCEPMa0qBzh26MEm
Kina Grannis,Shut Up and Dance,159010,7znZOKabUQzUMXjgMXDuem
Kina Grannis,Shut Up and Dance,159010,7znZOKabUQzUMXjgMXDuem
Zolita,Come Home With Me,216972,4NxDvQ3EwPWkKJxMqPgI9f
Zolita,Come Home With Me,216972,4NxDvQ3EwPWkKJxMqPgI9f
GIRLI,Girl I Met On The Internet,221866,3HPaR5OOXPAfP8dnURL1MG
Mary Lambert,Hang Out With You,192973,1n7q1rrF1OhCaoNXivsxq2
Kina Grannis,Sweater Weather,213236,4oQRyH9ezQmDkv4uNiYsfb
DEV,Lowkey,228961,2xAbxZ14XtJQem98EfbGNa
Dressy Bessy,If You Should Try To Kiss Her,164267,4RE5XmTFux3rumRegxnzLA
Chelsea Lankes,Secret,227524,2QGQRq5m7l5qZ1YTB5nK8e
Kadie Elder,First Time He Kissed a Boy,187978,72ey4Cr2eXXwH9IMlhzuCV
Gina Young,Punkrockdyke,205667,7uPmgGZinlPnEDP178hQh4
Alyson Stoner,When It's Right,166316,2WSZRMMVKMdJG7S3KqrtlH
Alyson Stoner,When It's Right,166316,2WSZRMMVKMdJG7S3KqrtlH
Alyson Stoner,When It's Right,166316,2WSZRMMVKMdJG7S3KqrtlH
Alyson Stoner,When It's Right,166316,2WSZRMMVKMdJG7S3KqrtlH
MØ,Nights With You,197495,5q5gzmbBS5yQzos2BvVr1t
MØ,Nights With You,197495,5q5gzmbBS5yQzos2BvVr1t
Bets,Jenny (feat. Kiddo),199467,7qCi0v4rNcnQMlZvbUXyOp
Bets,Jenny (feat. Kiddo),199467,7qCi0v4rNcnQMlZvbUXyOp
Miki Ratsula,Radiant Warmth,285408,4jt1LSZ6mQxufdrWzkrKoc
Miki Ratsula,Radiant Warmth,285408,4jt1LSZ6mQxufdrWzkrKoc
King Princess,Femme Fatale - RISE Recording,173227,0mAbTVcMX3KLOGJTfkhfFy
King Princess,Femme Fatale - RISE Recording,173227,0mAbTVcMX3KLOGJTfkhfFy
MUNA,I Know A Place,272813,0bPSRn4crnh5f1JhELPlyL
MUNA,I Know A Place,272813,0bPSRn4crnh5f1JhELPlyL
The Butchies,The Galaxy Is Gay,98640,1vOLAEUHw9CSQODh0QzSMF
The Butchies,The Galaxy Is Gay,98640,1vOLAEUHw9CSQODh0QzSMF
Amandla Stenberg,Let My Baby Stay,144933,7uCWAhAVOR487BVKlRf9kp
Amandla Stenberg,Let My Baby Stay,144933,7uCWAhAVOR487BVKlRf9kp
Little Big Town,Girl Crush,193320,11qh54D0PKkBwelpDxxiEU
Little Big Town,Girl Crush,193320,11qh54D0PKkBwelpDxxiEU
Childbirth,Since When Are You Gay?,171347,5gxTAugcoXkbN3taPi4db0
Childbirth,Since When Are You Gay?,171347,5gxTAugcoXkbN3taPi4db0
Keiynan Lonsdale,Kiss the Boy,261616,30LVVHovT76CEZUbexup1k
Ji Nilsson,Love You Anyway,209388,3OBYtowZmjPkcdsMa1gCl3
dodie,Would You Be So Kind,180952,3ZiuxcBeRanTjfHzVBuuQe
Jessica Manning,Kiss Me,256667,4NWD6k0HR76zIOS9xJb4gB
Tribe 8,Butch In the Streets,122267,0IuqYXO6yquiylMNbgbFL3
Various Artists,Queer for You,126880,3QQHVSegfne5bNQlvq55TX
Worriers,They / Them / Theirs,138824,5zpUjhFZWLZ7vCVk6ZpnRs
Tribe 8,Lezbophobia,163627,3YR3y3kQw2knQiI1aYomBj
Onsind,Heterosexuality Is a Construct,212577,6jfXrUUBLgpOUkkDyq0FYF
Dog Park Dissidents,Queer As in Fuck You,128000,4dskIT39lQekGe0SJZgQOc
Against Me!,True Trans Soul Rebel,192813,2GfFlKrsFYNy075as5Mxd6
Schmekel,Genderqueer Love Song,154000,2gRsjMS35bDf7BME8S5EyY
Pansy Division,That's So Gay,148271,53lYBRrPeI1Z4DPPPm3jqc
Ally Hills,Space,192995,6McHtslqphPTYyldY1gFfq
cupcakKe,Lgbt,161332,0lsw4q8Jei7gEoV7kFe3DS
Tribe 8,Wrong Bathroom,175867,2rxPRLVeFZOuBhaNnwHKDS
Art Project,Gender Nightmare,173865,3b8twLqft1kc9UEOwoV1G2
Pansy Division,Fem in a Black Leather Jacket,123690,0DAnR3nFavUWxSBatan0sW
The Mourning Sickness,Gender Trouble,280413,40zPmgnHyW5Y0GIzdLmYl6
Team Dresch,Fagetarian and Dyke,165560,2942YKHIqF1XHp7fvp1iEN
She/Her/hers,Gender Is Boring,187164,6bwTLoNvUPS3sdDb0zwhPa
Ste McCabe,Queer Clubbing,120107,3de2YOCwVjvXvpZTQUDw2P
Skin Jobs,Gender Bender,352707,3Kr8hiaIFy5BnXhPNa06Bj
Sleater-Kinney,I Wanna Be Your Joey Ramone,156987,1NVq4MTXJVqJ1Dw7LJ6KD4
GRLwood,Bisexual,120341,1w47gZOFLLt9voDEyK7fGd
The Spook School,Binary,195080,7fuoCSFDSs90fRmYLb2aUi
Jake Edwards,Second Puberty,225128,679thEYNroJxq1SZhuizI5
She/Her/hers,Nvr Pass,230350,7yJLS5bbD1BbVVXaRktMxP
Human Kitten,Gender Bronoun,97097,65AWhjrOO8HRD1Zf1mT4Iq
G.L.O.S.S.,G.L.O.S.S. (We're from the Future),91250,5w8lL6jy9wToBej9Lk9v2f
Various Artists,Daughterson,221180,11S0giTRnSvnXGBaUqZVSK
Size Of Sadness,Trans Punx (no bullshit),133108,6Sbnftu3pBiGTwFuS0oAzU
Tribe 8,Femme Bitch Top,210133,1Z3u2SRADuEvJrzIFlj5DU
Athens Boys Choir,Fagette,199027,5f7nZkoBIYMQgvg6XXzjA6
Skylar Kergil,Tell Me a Story,171053,17f67RRTPes2VB0wRvXB8c
The Spook School,Burn Masculinity,122947,3RXXtxXROnMPMG4hnyuUTB
Wrabel,The Village,230293,6epvwUINain4iSHCTWA0sj
Various Artists,they/them,104865,6qOVEzbB9IWfoUQFGYBfBI
Dani Shay,Girl or Boy (Live),167721,0sQ0SVEggePamQlqdbNFFb
Ryan Cassata,Daughter,180326,6GbYypkPUOxX9FdLsIvtCv
Benny,Little Game,238534,0ODyahnUlK9G5bT4dA5NCI
Jake Edwards,You Can't Tell Me (I'm Not a Man) - 2019 Remaster,267173,1MH7afub7lFfO6XiTbXJNd
Marissa Kay,Trans Is Love,218523,02zMcU43H5iJyl66LwOwAX
Various Artists,A Guy Named Joe,401268,0b2pnShJMfrWNUN1sfKvX0
Saint Wellesley,Dysphoria,160899,4b64WyYP30C36FOTdIMFp9
Schmekel,New Men With Old Man Names,290000,5cxKZIaiALkVAPs64OHjp5
Mother Mother,Body,213573,3UFnjqDaLc6WMtvE1UrXek
Dyke Drama,Cis Girls,146488,4v8SsmOafWMOvmiRgQ3SXI
Shawna Virago,Gender Armageddon,203996,4Rzt8z186TNaI0sSHl28Mp
7 Year Bitch,Dead Men Don't Rape,167333,4iGxxqZaZ2Z0YFiXgd8n8O
G.L.O.S.S.,Lined Lips and Spiked Bats,85625,6y13wDOK51lFoHDK6g8urg
