artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
The Dollyrots,My Best Friend's Hot,0.578,0.867,9,-2.671,1,0.0369,0.000673,0.00016,0.128,0.637,143.966,190133
Various Artists,Rebel Girl,0.435,0.939,8,-3.845,0,0.111,0.0122,0.00466,0.0614,0.559,134.938,157333
Sofya Wang,Boys Aside,0.583,0.913,7,-5.945,1,0.0401,0.00205,0.000374,0.164,0.659,95.991,230000
girl in red,we fell in love in october,0.566,0.366,7,-12.808,1,0.028,0.113,0.181,0.155,0.237,129.959,184154
girl in red,we fell in love in october,0.566,0.366,7,-12.808,1,0.028,0.113,0.181,0.155,0.237,129.959,184154
Shura,Touch,0.731,0.662,9,-11.58,0,0.255,0.568,0.00102,0.22,0.432,89.927,214556
Shura,Touch,0.731,0.662,9,-11.58,0,0.255,0.568,0.00102,0.22,0.432,89.927,214556
Shura,Touch,0.731,0.662,9,-11.58,0,0.255,0.568,0.00102,0.22,0.432,89.927,214556
Shura,Touch,0.731,0.662,9,-11.58,0,0.255,0.568,0.00102,0.22,0.432,89.927,214556
Sixpence None The Richer,There She Goes,0.498,0.789,10,-5.724,1,0.0319,0.000856,5.83E-06,0.104,0.455,120.176,164280
Sixpence None The Richer,There She Goes,0.498,0.789,10,-5.724,1,0.0319,0.000856,5.83E-06,0.104,0.455,120.176,164280
Various Artists,Mad About the Girl,0.525,0.319,5,-9.431,0,0.0298,0.857,0.0194,0.179,0.314,72.052,191480
Various Artists,Mad About the Girl,0.525,0.319,5,-9.431,0,0.0298,0.857,0.0194,0.179,0.314,72.052,191480
Kina Grannis,Shut Up and Dance,0.692,0.162,1,-9.785,1,0.033,0.864,0,0.112,0.457,99.853,159010
Kina Grannis,Shut Up and Dance,0.692,0.162,1,-9.785,1,0.033,0.864,0,0.112,0.457,99.853,159010
Zolita,Come Home With Me,0.51,0.544,9,-8.482,0,0.0452,0.189,0,0.143,0.177,142.022,216972
Zolita,Come Home With Me,0.51,0.544,9,-8.482,0,0.0452,0.189,0,0.143,0.177,142.022,216972
GIRLI,Girl I Met On The Internet,0.606,0.71,0,-3.436,1,0.0433,0.00411,0,0.198,0.415,94.995,221866
Mary Lambert,Hang Out With You,0.806,0.646,11,-7.297,1,0.0319,0.288,0.00591,0.166,0.603,121.952,192973
Kina Grannis,Sweater Weather,0.726,0.297,11,-7.857,1,0.0349,0.884,0,0.104,0.176,114.967,213236
DEV,Lowkey,0.638,0.435,4,-11.47,0,0.0635,0.34,2.31E-05,0.102,0.201,140.005,228961
Dressy Bessy,If You Should Try To Kiss Her,0.421,0.746,0,-10.165,1,0.037,0.0371,0,0.0754,0.971,104.986,164267
Chelsea Lankes,Secret,0.667,0.838,0,-5.597,1,0.0707,0.00842,0.125,0.125,0.387,120.034,227524
Kadie Elder,First Time He Kissed a Boy,0.616,0.856,11,-4.901,0,0.0389,0.0238,0,0.598,0.63,107.013,187978
Gina Young,Punkrockdyke,0.416,0.32,0,-11.241,1,0.0343,0.869,0.000432,0.117,0.175,134.238,205667
Alyson Stoner,When It's Right,0.776,0.58,7,-6.11,1,0.0637,0.0654,3.71E-06,0.354,0.468,114.046,166316
Alyson Stoner,When It's Right,0.776,0.58,7,-6.11,1,0.0637,0.0654,3.71E-06,0.354,0.468,114.046,166316
Alyson Stoner,When It's Right,0.776,0.58,7,-6.11,1,0.0637,0.0654,3.71E-06,0.354,0.468,114.046,166316
Alyson Stoner,When It's Right,0.776,0.58,7,-6.11,1,0.0637,0.0654,3.71E-06,0.354,0.468,114.046,166316
MØ,Nights With You,0.763,0.671,1,-4.029,0,0.1,0.401,1.16E-05,0.375,0.602,120.06,197495
MØ,Nights With You,0.763,0.671,1,-4.029,0,0.1,0.401,1.16E-05,0.375,0.602,120.06,197495
Bets,Jenny (feat. Kiddo),0.64,0.621,10,-7.361,0,0.0316,0.287,0.00245,0.112,0.697,140.047,199467
Bets,Jenny (feat. Kiddo),0.64,0.621,10,-7.361,0,0.0316,0.287,0.00245,0.112,0.697,140.047,199467
Miki Ratsula,Radiant Warmth,0.643,0.228,11,-13.223,1,0.0333,0.707,0,0.12,0.326,109.531,285408
Miki Ratsula,Radiant Warmth,0.643,0.228,11,-13.223,1,0.0333,0.707,0,0.12,0.326,109.531,285408
King Princess,Femme Fatale - RISE Recording,0.4,0.455,5,-11.733,1,0.0392,0.188,1.45E-05,0.109,0.343,124.752,173227
King Princess,Femme Fatale - RISE Recording,0.4,0.455,5,-11.733,1,0.0392,0.188,1.45E-05,0.109,0.343,124.752,173227
MUNA,I Know A Place,0.685,0.9,5,-4.626,0,0.151,0.137,0,0.2,0.779,111.991,272813
MUNA,I Know A Place,0.685,0.9,5,-4.626,0,0.151,0.137,0,0.2,0.779,111.991,272813
The Butchies,The Galaxy Is Gay,0.505,0.918,1,-4.919,1,0.0624,0.0207,0,0.174,0.372,121.625,98640
The Butchies,The Galaxy Is Gay,0.505,0.918,1,-4.919,1,0.0624,0.0207,0,0.174,0.372,121.625,98640
Amandla Stenberg,Let My Baby Stay,0.542,0.357,10,-6.938,0,0.0365,0.334,0.258,0.0724,0.197,102.251,144933
Amandla Stenberg,Let My Baby Stay,0.542,0.357,10,-6.938,0,0.0365,0.334,0.258,0.0724,0.197,102.251,144933
Little Big Town,Girl Crush,0.5,0.225,0,-10.22,1,0.0302,0.842,0,0.112,0.355,173.788,193320
Little Big Town,Girl Crush,0.5,0.225,0,-10.22,1,0.0302,0.842,0,0.112,0.355,173.788,193320
Childbirth,Since When Are You Gay?,0.348,0.865,6,-5.758,1,0.0506,0.00714,0.487,0.117,0.416,151.988,171347
Childbirth,Since When Are You Gay?,0.348,0.865,6,-5.758,1,0.0506,0.00714,0.487,0.117,0.416,151.988,171347
Keiynan Lonsdale,Kiss the Boy,0.78,0.394,0,-9.249,1,0.0433,0.0804,0,0.165,0.456,139.952,261616
Ji Nilsson,Love You Anyway,0.634,0.543,6,-9.038,0,0.0791,0.366,0.000636,0.104,0.153,195.917,209388
dodie,Would You Be So Kind,0.662,0.614,4,-9.621,1,0.204,0.158,0.00019,0.126,0.616,160.068,180952
Jessica Manning,Kiss Me,0.498,0.124,4,-11.509,1,0.035,0.918,0,0.115,0.216,86.801,256667
Tribe 8,Butch In the Streets,0.253,0.82,9,-9.496,1,0.0478,3.81E-05,0.0472,0.274,0.517,174.693,122267
Various Artists,Queer for You,0.372,0.799,2,-8.162,1,0.0382,0.000708,0.917,0.0993,0.827,163.577,126880
Worriers,They / Them / Theirs,0.388,0.933,2,-4.924,1,0.0406,0.000102,0.465,0.325,0.635,89.924,138824
Tribe 8,Lezbophobia,0.366,0.748,11,-7.399,0,0.0425,0.0757,2.33E-05,0.142,0.962,144.986,163627
Onsind,Heterosexuality Is a Construct,0.572,0.527,3,-6.321,1,0.0511,0.335,0,0.285,0.359,145.378,212577
Dog Park Dissidents,Queer As in Fuck You,0.473,0.923,6,-12.253,1,0.0614,0.00611,0,0.164,0.381,179.975,128000
Against Me!,True Trans Soul Rebel,0.281,0.974,3,-3.81,1,0.131,7.41E-05,0.0225,0.344,0.237,167.589,192813
Schmekel,Genderqueer Love Song,0.553,0.575,7,-11.89,1,0.043,0.0971,0,0.131,0.766,143.617,154000
Pansy Division,That's So Gay,0.592,0.954,11,-7.861,0,0.0594,0.018,0,0.317,0.775,151.853,148271
Ally Hills,Space,0.353,0.709,6,-6.548,0,0.0526,0.0629,0.00154,0.0786,0.556,96.997,192995
